Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CE10_S64_L002_R1_001	CE10_S64_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759049.0	114.6 Mbp	0.0	151.0	37.0	77.32345367022923	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CE10_S64_L002_R2_001	CE10_S64_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759049.0	114.6 Mbp	0.0	151.0	37.0	78.21772460312296	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
CE11_S65_L002_R1_001	CE11_S65_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	656072.0	99 Mbp	0.0	151.0	37.0	79.03349533596749	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	warn
CE11_S65_L002_R2_001	CE11_S65_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	656072.0	99 Mbp	0.0	151.0	37.0	79.87504267070953	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
CE12_S66_L002_R1_001	CE12_S66_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561612.0	84.8 Mbp	0.0	151.0	37.0	81.05690712458784	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	warn
CE12_S66_L002_R2_001	CE12_S66_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	561612.0	84.8 Mbp	0.0	151.0	37.0	81.54053065764099	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
CE15_S69_L002_R1_001	CE15_S69_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	814858.0	123 Mbp	0.0	151.0	37.0	76.54841119923218	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CE15_S69_L002_R2_001	CE15_S69_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	814858.0	123 Mbp	0.0	151.0	37.0	76.98425495599204	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
CE16_S70_L002_R1_001	CE16_S70_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1189347.0	179.5 Mbp	0.0	151.0	37.0	72.12264166346866	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CE16_S70_L002_R2_001	CE16_S70_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1189347.0	179.5 Mbp	0.0	151.0	37.0	72.88611913688635	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
CE17_S71_L002_R1_001	CE17_S71_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	380715.0	57.4 Mbp	0.0	151.0	35.0	78.71162548255971	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CE17_S71_L002_R2_001	CE17_S71_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	380715.0	57.4 Mbp	0.0	151.0	36.0	83.35723369605475	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	warn
CE1_S55_L002_R1_001	CE1_S55_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1152470.0	174 Mbp	0.0	151.0	37.0	72.19266986610177	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CE1_S55_L002_R2_001	CE1_S55_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1152470.0	174 Mbp	0.0	151.0	37.0	73.66064089930123	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
CE20_S74_L002_R1_001	CE20_S74_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1824350.0	275.4 Mbp	0.0	151.0	34.0	60.63549386601758	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
CE20_S74_L002_R2_001	CE20_S74_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1824350.0	275.4 Mbp	0.0	151.0	35.0	61.84827692618297	151.0	151	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
