Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CE10_S64_L002_R1_001	22.676546329770773	37.0	151.0	151	9.090909090909092	759049.0
CE10_S64_L002_R2_001	21.78227539687704	37.0	151.0	151	9.090909090909092	759049.0
CE11_S65_L002_R1_001	20.966504664032513	37.0	151.0	151	9.090909090909092	656072.0
CE11_S65_L002_R2_001	20.124957329290467	37.0	151.0	151	9.090909090909092	656072.0
CE12_S66_L002_R1_001	18.943092875412162	37.0	151.0	151	9.090909090909092	561612.0
CE12_S66_L002_R2_001	18.459469342359014	37.0	151.0	151	9.090909090909092	561612.0
CE15_S69_L002_R1_001	23.451588800767823	37.0	151.0	151	9.090909090909092	814858.0
CE15_S69_L002_R2_001	23.015745044007957	37.0	151.0	151	9.090909090909092	814858.0
CE16_S70_L002_R1_001	27.877358336531344	37.0	151.0	151	9.090909090909092	1189347.0
CE16_S70_L002_R2_001	27.11388086311365	37.0	151.0	151	9.090909090909092	1189347.0
CE17_S71_L002_R1_001	21.28837451744029	35.0	151.0	151	9.090909090909092	380715.0
CE17_S71_L002_R2_001	16.64276630394525	36.0	151.0	151	9.090909090909092	380715.0
CE1_S55_L002_R1_001	27.807330133898233	37.0	151.0	151	9.090909090909092	1152470.0
CE1_S55_L002_R2_001	26.339359100698772	37.0	151.0	151	9.090909090909092	1152470.0
CE20_S74_L002_R1_001	39.36450613398242	34.0	151.0	151	9.090909090909092	1824350.0
CE20_S74_L002_R2_001	38.15172307381703	35.0	151.0	151	9.090909090909092	1824350.0
CE21_S75_L002_R1_001	27.280659893333052	34.0	151.0	151	9.090909090909092	885089.0
CE21_S75_L002_R2_001	23.902929325119743	35.0	151.0	151	9.090909090909092	885089.0
CE22_S76_L002_R1_001	32.58210078820598	34.0	151.0	151	9.090909090909092	1077756.0
CE22_S76_L002_R2_001	28.58900064107779	35.0	151.0	151	9.090909090909092	1077756.0
CE23_S77_L002_R1_001	27.240461317798648	34.0	151.0	151	9.090909090909092	898752.0
CE23_S77_L002_R2_001	24.262247007675924	35.0	151.0	151	9.090909090909092	898752.0
CE24_S78_L002_R1_001	26.04850520946617	35.0	151.0	151	9.090909090909092	754956.0
CE24_S78_L002_R2_001	22.629522493626936	35.0	151.0	151	9.090909090909092	754956.0
CE25_S79_L002_R1_001	30.64024359075593	34.0	151.0	151	9.090909090909092	1052597.0
CE25_S79_L002_R2_001	26.387057541735913	35.0	151.0	151	9.090909090909092	1052597.0
CE26_S80_L002_R1_001	36.80274307730078	35.0	151.0	151	9.090909090909092	1009904.0
CE26_S80_L002_R2_001	31.254407547606604	36.0	151.0	151	9.090909090909092	1009904.0
CE27_S81_L002_R1_001	28.195722722935557	34.0	151.0	151	9.090909090909092	923985.0
CE27_S81_L002_R2_001	23.72907601060234	35.0	151.0	151	9.090909090909092	923985.0
CE28_S82_L002_R1_001	31.25427249880117	34.0	151.0	151	9.090909090909092	1143409.0
CE28_S82_L002_R2_001	26.78636893688173	35.0	151.0	151	9.090909090909092	1143409.0
CE29_S83_L002_R1_001	28.27945945524685	35.0	151.0	151	9.090909090909092	590067.0
CE29_S83_L002_R2_001	24.02334224046065	36.0	151.0	151	9.090909090909092	590067.0
CE30_S84_L002_R1_001	28.79161150580856	34.0	151.0	151	9.090909090909092	962859.0
CE30_S84_L002_R2_001	25.108170137823933	35.0	151.0	151	9.090909090909092	962859.0
CE31_S85_L002_R1_001	28.99552104358729	34.0	151.0	151	9.090909090909092	977598.0
CE31_S85_L002_R2_001	25.504535612264277	35.0	151.0	151	9.090909090909092	977598.0
CE32_S86_L002_R1_001	28.762227532974833	34.0	151.0	151	9.090909090909092	895675.0
CE32_S86_L002_R2_001	25.020373809348712	35.0	151.0	151	9.090909090909092	895675.0
CE33_S87_L002_R1_001	31.610732220107792	34.0	151.0	151	9.090909090909092	1063165.0
CE33_S87_L002_R2_001	27.4767205851535	34.0	151.0	151	9.090909090909092	1063165.0
CE34_S88_L002_R1_001	25.694039755957064	34.0	151.0	151	9.090909090909092	762787.0
CE34_S88_L002_R2_001	22.363322945308923	35.0	151.0	151	9.090909090909092	762787.0
CE35_S89_L002_R1_001	28.040733218604373	37.0	151.0	151	9.090909090909092	1183883.0
CE35_S89_L002_R2_001	27.048652809173774	37.0	151.0	151	9.090909090909092	1183883.0
CE36_S90_L002_R1_001	28.68899292754982	37.0	151.0	151	9.090909090909092	1286036.0
CE36_S90_L002_R2_001	27.98370220613802	37.0	151.0	151	9.090909090909092	1286036.0
CE37_S91_L002_R1_001	21.731380678584543	37.0	151.0	151	9.090909090909092	759033.0
CE37_S91_L002_R2_001	20.95289193662647	37.0	151.0	151	9.090909090909092	759033.0
CE38_S92_L002_R1_001	24.73993060260659	37.0	151.0	151	9.090909090909092	873253.0
CE38_S92_L002_R2_001	23.23058796690745	37.0	151.0	151	9.090909090909092	873253.0
CE39_S93_L002_R1_001	25.303505640999376	37.0	151.0	151	9.090909090909092	989496.0
CE39_S93_L002_R2_001	24.9215827575957	37.0	151.0	151	9.090909090909092	989496.0
CE41_S95_L002_R1_001	29.865101222130093	37.0	151.0	151	9.090909090909092	1297421.0
CE41_S95_L002_R2_001	28.369331444938396	37.0	151.0	151	9.090909090909092	1297421.0
CE42_S96_L002_R1_001	24.110762086562033	37.0	151.0	151	9.090909090909092	909088.0
CE42_S96_L002_R2_001	22.882972907260836	37.0	151.0	151	9.090909090909092	909088.0
CE4_S58_L002_R1_001	24.137653092969828	37.0	151.0	151	9.090909090909092	861253.0
CE4_S58_L002_R2_001	23.057309363892458	37.0	151.0	151	9.090909090909092	861253.0
CE6_S60_L002_R1_001	23.74995804815191	37.0	151.0	151	9.090909090909092	836018.0
CE6_S60_L002_R2_001	22.67772618123996	37.0	151.0	151	9.090909090909092	836018.0
CE7_S61_L002_R1_001	25.611789126040208	37.0	151.0	151	9.090909090909092	931936.0
CE7_S61_L002_R2_001	24.883350287058448	37.0	151.0	151	9.090909090909092	931936.0
